Designation,Abstract,Season
Regulatory,"The Department proposes to revise its regulations for various Quality Control (QC) provisions in subpart C of 7 CFR part 275 to reflect numerous changes to the Supplemental Nutrition Assistance Programs (SNAP) Quality Control system. The proposed provisions are based on instruction in the Agriculture Improvement Act of 2018 that gives the Secretary discretion on how to implement Congress request to improve the integrity and data quality of information collected in the QC process and in part on comments received to a Request for Information (RFI) published on June 1, 2018.",Fall_2020
Deregulatory,"This proposed rule would amend regulations to provide flexibility regarding flavored milk served as part of a school meal or snack through the National School Lunch Program (NSLP) and School Breakfast Program (SBP), sold on the school campus outside of those Programs, served to children and adult participants through the Child and Adult Care Food Program, or served to children participants through the Special Milk Program. It also seeks to provide flexibility with regard to NSLP and SBP requirements relating to whole grains and sodium.",Fall_2020
Regulatory,"This proposed rulemaking would amend regulations governing the WIC food packages to: 1) incorporate recommendations of the National Academies of Science, Engineering, and Medicine 2017 scientific report, Review of WIC Food Packages: Improving Balance and Choice; 2) align with 2020 Dietary Guidelines for Americans; and 3) make other administrative revisions or clarifications to food package requirements.",Fall_2020
Regulatory,"This rule updates the Child and Adult Care Food Program (CACFP) serious deficiency (SD) process and establishes SD processes for unaffiliated centers and the Summer Food Service Program (SFSP). Section 322 of the Healthy, Hunger-Free Kids Act of 2010 (the Act) requires the Secretary to establish procedures for the termination and disqualification of organizations participating in the Summer Food Service Program. This rule also establishes criteria for imposing fines against schools, school food authorities, or State agencies in CACFP as required by section 303 of the Act. Additionally, this rule seeks to clarify challenges identified through public comments on the proposed, CN Integrity Rule and through the request for information (RFI) on the SD process.",Fall_2020
Deregulatory,"The Forest Service proposes the amendment of its locatable mineral regulations to better reflect the needs of our national defense and economic prosperity. Recent issues and existing weaknesses in the current regulations have been identified, and updating regulations addressing these would allow the Forest Service to better implement its mining regulations. Specifically, the Forest Service is considering in this proposed rule to 1) expedite review and approval of certain proposed mineral operations; 2) increase consistency with the Department of the Interior, Bureau of Land Management (BLM) surface management regulations; and 3) increase consistency within the Forest Services nationwide regulation of mineral operations.",Fall_2020
Deregulatory,"Consistent with the Forest Service's statutory cost recovery duty, the proposed rule would update the processing and monitoring fee schedules for special uses based on the agency's current costs to process special use applications and monitor compliance with special use authorizations. Also consistent with the Forest Service's cost recovery statutes, the proposed rule would amend the Forest Service's cost recovery regulations to provide for charging processing fees for screening special use proposals before a special use application is accepted. Consistent with the Forest Service's cost recovery statutes, the proposed rule would also remove the current exemption in the Forest Service's cost recovery regulations for recreation special use applications and authorizations that require 50 hours or less to process or monitor, except those for recreation residences. Removing the exemption would treat these uses commensurate with lands special uses and would help address the agency's processing and monitoring backlog. Recreation residence applications and authorizations requiring 50 hours or less to process or monitor would not be charged cost recovery fees because they are already subject to an administrative fee of $1,200 under the Cabin Fee Act, 16 U.S.C. 6214, when recreation residence permits are transferred.",Fall_2020
Regulatory,"Current Forest Service regulations at 36 CFR part 251, subpart B, govern the processing of special use applications and issuance of special use authorizations for uses of National Forest System (NFS) lands, including communications uses. Forest Service Handbook (FSH) 2709.11, chapter 90, provides direction for communications uses and Chapter 30, provides direction for fee administration. These regulations and directives need to be updated consistent with newly enacted statutes that establish requirements for charging a new programmatic administrative fee for communications use authorizations.",Fall_2020
Deregulatory,Categorical Exclusion (CE) for rangeland management improvement projects (36 CFR 220.6(e)(9)) proposed update to incorporate modern range management practices and also provide examples of actions consistent with this CE category.,Fall_2020
Deregulatory,"Consistent with the federal cost recovery statutes, the Forest Service proposes to initiate rulemaking to charge processing and monitoring fees for certain mineral activities. The Forest Service will also support new legislations to allow the agency to retain the fees it collects and use those funds to offset costs for processing and monitoring compliance for mineral activities.",Fall_2020
Deregulatory,"On July 16, 2020, the Council on Environmental Quality published a final rule revising its regulations implementing the procedural provisions of the National Environmental Policy Act (85 FR 43304). Per CEQs revised regulations at 40 CFR 1507.3(b), the Forest Service is developing proposed procedures to implement the Council on Environmental Qualitys revised regulations, including to eliminate any inconsistencies with the Councils revised regulations.",Fall_2020
Regulatory,"The Concrete Masonry Products Research, Education, and Promotion Act of 2018 (Act) (15 U.S.C. 8701 et seq.) authorizes the establishment of an orderly program for a program of research, education, and promotion, including funds for marketing and market research activities, that is designed to promote the use of concrete masonry products in construction and building (a checkoff program). The Act allows industry to submit a proposed order establishing such a program. If the Secretary determines that such a proposed order is consistent with and will effectuate the purpose of the Act, this rule will effectuate the referendum process.",Fall_2020
Deregulatory,"EDA is proposing to amend the regulations located at 13 CFR 300.3, 301.7, 301.8, 301.9, 303.3, 305.3, 306.3, 306.6, and 307.5. These regulations describe the process for applying for various EDA grants under the Public Works and Economic Development Act of 1965 and the evaluation and selection criteria EDA will apply when reviewing those applications. Portions of these regulations are more appropriately communicated to potential applicants through an EDA Notice of Funding Opportunity (NOFO), which specifically addresses the program requirements for applying for grants in a particular fiscal year that may change from year to year to reflect Administration priorities or changing economic circumstances. Moreover, those interested in the specific requirements of such grants generally know to review grants.gov for those requirements rather than the regulations. EDA proposes to retain those portions of these regulations that direct applicants to look to the NOFO for specific requirements and that establish certain procedural steps that require regulations (e.g., EDA does not accept appeals of denied applications and limits on indirect costs). Finally, EDA is proposing to amend the definitions section of the regulations to eliminate the definition of ""Regional Innovation Clusters or RICs."" The term is separately defined in 13 CFR 312.3. Eliminating the definition removes duplication while reducing the potential for confusion.",Fall_2020
Regulatory,"The National Marine Fisheries Service published a final rule to list the Arctic ringed seal as a threatened species under the Endangered Species Act (ESA) in December 2012. The ESA requires designation of critical habitat at the time a species is listed as threatened or endangered, or within one year of listing if critical habitat is not then determinable. This rulemaking would designate critical habitat for the Arctic ringed seal. The critical habitat designation would be in the northern Bering, Chukchi, and Beaufort seas within the current range of the species.",Fall_2020
Regulatory,"In response to recommendations by the Atlantic States Marine Fisheries Commission, this rulemaking action proposes to cap and reduce individual and aggregate trap caps in the Offshore Area 3 lobster fishery and cap the number of permits a permit holder may have in nearshore Area 2. It also proposes to implement components of the Commission's Addendum XXVI to the American Lobster Management Plan. Among other things, the Addendum requires the lobster harvesting states to implement a trip-level reporting requirement with expanded data elements for all lobster fishermen in their respective jurisdictions, and recommends complementary action for Federal lobster permit holders. We propose to implement the mandatory trip-level harvester reporting requirement through this action. Finally, this action also proposes to make some minor administrative changes to the lobster trap transfer program, consider allowing the use of a substitute vessel to tend lobster gear in certain circumstances, and will remove some outdated text from the Federal lobster regulation at 50 CFR 697.",Fall_2020
Regulatory,"This proposed rule will make conforming amendments to regulations implementing the various statutes amended by the Illegal, Unreported and Unregulated Fishing Enforcement Act of 2015 (Pub. L. 114-81). The Act amends several regional fishery management organization implementing statutes as well as the High Seas Driftnet Fishing Moratorium Protection Act. It also provides authority to implement two new international agreements under the Antigua Convention, which amends the Convention for the establishment of an Inter-American Tropical Tuna Commission, and the United Nations Food and Agriculture Organization Agreement on Port State Measures to Prevent, Deter, and Eliminate Illegal, Unreported and Unregulated Fishing (Port State Measures Agreement), which restricts the entry into U.S. ports by foreign fishing vessels that are known to be or are suspected of engaging in illegal, unreported, and unregulated fishing. This proposed rule will also implement the Port State Measures Agreement. To that end, this proposed rule will require the collection of certain information from foreign fishing vessels requesting permission to use U.S. ports. It also includes procedures to designate and publicize the ports to which foreign fishing vessels may seek entry and procedures for conducting inspections of these foreign vessels accessing U.S. ports. Further, the rule establishes procedures for notification of: the denial of port entry or port services for a foreign vessel, the withdrawal of the denial of port services if applicable, the taking of enforcement action with respect to a foreign vessel, or the results of any inspection of a foreign vessel to the flag nation of the vessel and other competent authorities as appropriate.",Fall_2020
Regulatory,"NMFS listed 5 Caribbean corals as threatened under the Endangered Species Act on October 10, 2014.  Critical habitat shall be designated to the maximum extent prudent and determinable at the time a species is proposed for listing (50 CFR 424.12). We concluded that critical habitat was not determinable for the 5 corals at the time of listing. However, we anticipated that critical habitat would be determinable in the future given on-going research. We, therefore, announced in the final listing rules that we would propose critical habitat in separate rulemakings. This rule proposes to designate critical habitat for the 5 Caribbean coral species listed in 2014.  A separate proposed critical habitat rule is being prepared for the 15 Indo-Pacific corals listed as threatened in 2014. The proposed designation for the Caribbean corals may include marine waters in Florida, Puerto Rico, US Virgin Islands, Navassa Island, and Flower Garden Banks containing essential features that support all stages of life history of the corals.  The proposed rule is not likely to have an annual effect on the economy of $100 million or more or adversely affect the economy. NMFS has contacted the Departments of the Navy, Air Force, and Army as well as the U.S. Coast Guard requesting information related to potential national security impacts that may result from the critical habitat designation.  Based on information provided, we concluded that there will be an impact on national security in only 1 area offshore Dania Beach, FL, and will propose to exclude it from the designations.",Fall_2020
Deregulatory,"The current regulations for Inspection and Certification by the NMFS Seafood Inspection Program have not been significantly updated since the 1970s. They contain outdated language, procedures, and definitions, and have many inconsistencies with current practices of the Seafood Inspection Program. This rule would update and revise the Seafood Inspection Program's implementing regulations by updating and adding definitions, eliminating and updating certain procedures, and clarifying current language and titles (e.g., sampler vs. inspector). The updates and changes are necessary to reflect current operating procedures of the Seafood Inspection Program, and modern business practices (e.g., use of credit cards and the Internet). In addition, the regulations for the U.S. Standards for Grades of Fish and Fishery Products would be revised to increase uniformity in inspection results, decrease inspection time, and maintain fairness, reliability and validity of inspection results. Sample size, sample unit, grading procedures, and grade determinations will all be updated and codified in the regulations.",Fall_2020
Deregulatory,"Current Federal regulations prohibit vessels, defined as vessels equal to or greater than 50 ft in length, from fishing for pelagic management unit species within the large vessel prohibited area 12 nautical miles from American Samoa (the ""large vessel prohibited area""). This action would implement a decision by the Western Pacific Regional Fishery Management Council on an exemption for longline vessels 50 ft and longer holding an American Samoa longline limited entry permit to fish within certain portions of the area.",Fall_2020
Deregulatory,This action would implement the Western Pacific Fishery Management Council's Amendment 9 to the Fishery Ecosystem Plan for Pacific Pelagic Fisheries of the Western Pacific Region (Pelagics Fishery Ecosystem Plan). Amendment 9 would modify the longline limited entry program. The management objectives of the limited entry program are to: 1) prevent local depletion; 2) maintain sustained community participation in the fishery; 3) ensure opportunities for participation by indigenous American Samoans; 4) reduce gear conflicts; and 5) minimize fish bycatch. Amendment 9's modifications are intended to reduce programmatic barriers that may be limiting small vessel participation in the fishery.,Fall_2020
Deregulatory,"The proposed action would implement a regulatory amendment to the Pacific Fishery Management Council's Pacific Coast Groundfish Fishery Management Plan to allow bottom trawl and midwater trawl vessels targeting non-whiting species the option to use electronic monitoring (video cameras and associated sensors) in place of observers to meet requirements for 100-percent observer coverage. By allowing vessels the option to use electronic monitoring to meet monitoring requirements, this action is intended to increase operational flexibility and reduce monitoring costs for the fleet.",Fall_2020
Deregulatory,"Several joint National Marine Fisheries Service (NMFS) and Fish and Wildlife Service (FWS) policies exist to facilitate participation by States in Federal actions pursuant to various parts of the Endangered Species Act. While NMFS does invite and include representatives from State wildlife agencies in scientific review teams for listing actions, this is not explicit in the policies. NMFS and FWS may revise the current joint policy on State participation to expressly indicate that State wildlife agencies should be included in status reviews of listing actions.",Fall_2020
Deregulatory,"The Bureau of Reclamation plans to release Sacramento River winter-run Chinook salmon (Oncorhynchus tshawytscha) and Central Valley spring-run Chinook salmon (Oncorhynchus tshawytscha) in the upper Sacramento and McCloud Rivers above Shasta Dam for species recovery purposes. This action proposes to designate the fish released as nonessential experimental populations under section 10(j) of the Endangered Species Act. The proposed nonessential experimental populations are not expected to have a significant impact because the section 7(a)(2) consultation requirement would not apply to Federal agency actions affecting the experimental populations. Additionally, take that is incidental to an otherwise lawful activity and is not willful, knowing, or due to negligence would not be prohibited. Otherwise lawful activities include, but are not limited to, agricultural, water management, power generation, construction, recreation, fishing, or forestry practices, when such activities are in full compliance with all applicable laws and regulations. Similarly, take caused by any activity taken pursuant to a permit issued by NMFS under section 10 of the Endangered Species Act would not be prohibited. Aid, disposal, and salvage of fish by authorized personnel acting in compliance with threatened marine and anadromous species regulations would also not be prohibited.",Fall_2020
Deregulatory,"NMFS may modify the Atlantic Large Whale Take Reduction Plans Massachusetts Trap/Pot Restricted Area and the Great South Channel Trap/Pot Restricted Area. Large whale entanglements resulting in serious injuries and mortalities still occur at levels that, for North Atlantic right whales, exceed the levels established by the Marine Mammal Protection Act. In accordance to recommendations from the Atlantic Large Whale Take Reduction Team, NMFS believes modifications to the Atlantic Large Whale Take Reduction Plan (Plan) are needed to meet the goals of the Marine Mammal Protection Act. Currently the plan has seasonal trap/pot closures in two areas: Massachusetts Restricted Area and the Great South Channel. This rulemaking would allow trap/pot fishing that does not use vertical buoy lines (referred to as buoy-lineless or ropeless gear) prior to gear retrieval in these areas. By opening these areas to allow this type of gear, it is expected that a portion of previously excluded fishermen will regain access to fishing grounds--potentially leading to revenue increase as well as additional to develop practical and economically feasible buoy lineless gear technologies and techniques. These technologies and techniques will provide long-term options for helping reduce large whale entanglements in the future.",Fall_2020
Deregulatory,"The Secretary of Commerce proposes to revise the management measures for Atlantic bluefin tuna fisheries. Potential management measures could include modifications to pelagic longline and purse seine fisheries as well as other bluefin tuna fisheries, which would increase flexibility for fishery participants.",Fall_2020
Deregulatory,"This rulemaking would address conducting research in areas currently closed to fishing for Atlantic highly migratory species (HMS)--during various times or by certain gear-- to collect fishery-dependent data. A number of time/area closures or gear-restricted areas have been implemented over the years through various rulemakings, limiting fishing for Atlantic highly migratory species in those areas for a variety of reasons including reducing bycatch. These time/area closures have been implemented in consultation with the HMS Advisory Panel to protect species consistent with the Magnuson-Stevens Fisheries Conservation and Management Act (e.g., to reduce bycatch in the pelagic longline fishery off the east coast of Florida), the Endangered Species Act (e.g., to protect sea turtles in the North Atlantic), and the Atlantic Tunas Convention Act (e.g., to protect spawning bluefin tuna in the Gulf of Mexico). Fishery-dependent data supports effective fisheries management, and areas that restrict fishing effort often have a commensurate decrease in fishery-dependent data collection. Programs to facilitate research and data collection, such as those that would be covered by this rulemaking, could assess the efficacy of closed areas, improve sustainable management of highly migratory species, and may provide benefits to commercial and recreational fishermen.",Fall_2020
Deregulatory,The Mid-Atlantic Fishery Management Council may recommend the revision of fishery management plans that contain vessel upgrade restrictions which are managed with quotas to reduce regulatory burden. This proposed action would implement that recommendation.,Fall_2020
Deregulatory,The Mid-Atlantic Fishery Management Council may recommend that the language in subpart B be revised to remove unnecessary language. This proposed action would implement the recommendation.,Fall_2020
Deregulatory,"In response to action by the Mid-Atlantic Fishery Management Council, this action would amend the Council's Atlantic Surfclam and Ocean Quahog Fishery Management Plan (FMP) to establish caps on the amount of quota share and annual cage tags that an entity could hold in the surfclam and ocean quahog individual transferable quota (ITQ) fisheries.  This action aims to prevent any particular individual, corporation, or other entity from acquiring an excessive share of ITQ privileges, consistent with National Standard 4 of the Magnuson-Stevens Fishery Conservation and Management Act.  The caps approved by the Council are above any current holdings, and this action would not require anyone to divest their current quota share and is expected to have minimal economic impact, if any.  Periodic review of the excessive shares caps would be required to ensure they remain effective and appropriate.  This action would also adjust the frequency of multi-year specifications actions to better align with the expected frequency of stock assessments, and would update the goals and objectives of the FMP.",Fall_2020
Deregulatory,The New England Fishery Management Council may recommend reducing vessel and gear restrictions for groundfish. Potential management measures could include: modifying the limit on the number of hooks used in a sector and removing the prohibition on a vessel hauling another vessels gillnet gear in the sectors. This proposed action would implement that recommendation.,Fall_2020
Deregulatory,The New England Fishery Management Council may recommend relieving gear requirements and seasonal restrictions for groundfish in the Eastern United States/Canada Management Area sectors to provide greater regulatory flexibility and reduce burden to the public. This proposed action would implement that recommendation.,Fall_2020
Deregulatory,"The New England Fishery Management Council may recommend relieving gear and seasonal restrictions in various groundfish management sectors. Potential management measures for relief or adjustment include: restrictions on groundfish in the Closed Area II Yellowtail Flounder/Haddock Special Access Program, gillnet day limits on vessels fishing outside of the Gulf of Maine, and minimum mesh-size requirement for trawl nets for redfish trips. This proposed action would implement that recommendation.",Fall_2020
Deregulatory,The New England Fishery Management Council may recommend revising or removing the declaration of intent requirement to fish in the Eastern United States/Canada Special Access Program and the Closed Area II Yellowtail Flounder/Haddock. This proposed action would implement any such recommendation.,Fall_2020
Deregulatory,This rulemaking would implement a possible Western Pacific Fishery Management Council framework action to shift the specification process for territorial bigeye tuna catch limits from an annual process to a 5-year process. Currently the territorial specifications must be re-specified every year. Such action would support the long-term sustainability of fishery resources of the U.S. Pacific Islands as well as provide regulatory efficiency so that re-specification is only needed once every 5 years.,Fall_2020
Deregulatory,The New England Fishery Management Council may recommend relieving the burden of carrying a Vessel Monitoring System for Handgear A vessels fishing in a single broad stock area in sectors. This rulemaking would implement such a recommendation.,Fall_2020
Deregulatory,The New England Fishery Management Council may recommend revising the Flexible area action system to reduce regulatory burden and cost to the public. This proposed action would implement that recommendation.,Fall_2020
Deregulatory,"The New England Fishery Management Council may recommend revising eligibility requirements to access the Special Access Programs for Georges Bank yellowtail flounder, which would increase flexibility for industry participants. This proposed action would implement that recommendation.",Fall_2020
Deregulatory,"The New England Fishery Management Council may recommend revising the prohibition on operational discards in groundfish closed areas, which may increase flexibility for industry participants. This proposed action would implement any such recommendation.",Fall_2020
Deregulatory,"The New England Fishery Management Council may recommend revising the pre-landing Vessel Monitoring System notification requirement, which may increase flexibility for industry participants. This proposed action would implement that recommendation.",Fall_2020
Deregulatory,The South Atlantic Fishery Management Council may recommend the removal of requirements for operator permits for the Dolphin and Wahoo Fishery off the Atlantic States as they are not being used for enforcement purposes. The removal would reduce the burden to permit holders associated with annual renewal requirements. This proposed action would implement that recommendation.,Fall_2020
Regulatory,"Pursuant to the Endangered Species Act of 1973, the National Marine Fisheries Service will propose to revise our current interpretation of the phrase ""significant portion of its range"" as it is used in the Endangered Species Act's (Act's) definitions of ""endangered species"" and ""threatened species."" 16 U.S.C. 1532(6); (20). This new interpretation will supersede, in whole or in part, a joint final policy adopted with the United States Fish and Wildlife Service (FWS) in 2014. This revised policy is to be proposed jointly with FWS.",Fall_2020
Deregulatory,"The proposed action would amend the regulations governing how fishing net mesh size is measured in the Northeast. This change approves the use of the Omega Mesh Measurement Gauge (Omega gauge) as an acceptable method to measure net mesh size. The Omega gauge is an automated, handheld electronic device for measuring net mesh size for the purpose of enforcing minimum mesh size regulations. The Omega gauge is easier to use than the traditional wedge gauge, and should improve efficiency and safety and reduce human error.",Fall_2020
Regulatory,"In response to recent recommendations from the Atlantic Large Whale Take Reduction Team (TRT) to reduce the risk of North Atlantic right whale entanglement in commercial trap/pot fisheries along the U.S. East Coast, the National Marine Fisheries Service (NMFS) intends to propose regulations to amend the Atlantic Large Whale Take Reduction Plan (Plan).",Fall_2020
Regulatory,"On September 10, 2014, NMFS listed 20 species of reef-building corals as threatened under the Endangered Species Act, 15 in the Indo-Pacific and five in the Caribbean. Of the 15 Indo-Pacific species, seven occur in U.S. waters of the Pacific Islands Region, including in American Samoa, Guam, the Commonwealth of the Mariana Islands, and the Pacific Remote Island Areas. This proposed rule would designate critical habitat for the seven species in U.S. waters (Acropora globiceps, Acropora jacquelineae, Acropora retusa, Acropora speciosa, Euphyllia paradivisa, Isopora crateriformis, and Seriatopora aculeata). A separate proposed rule will designate critical habitat for the listed Caribbean coral species. The proposed designation may cover coral reef habitat around 13 island or atoll units in the Pacific Islands Region, including three in American Samoa, one in Guam, seven in the Commonwealth of the Mariana Islands, and two in Pacific Remote Island Areas, containing essential features that support reproduction, growth, and survival of the listed coral species. NMFS has contacted the Departments of the Navy, Air Force, and Army as well as the U.S. Coast Guard requesting information related to potential national security impacts that may result from the critical habitat designation. Based on information provided, we will determine whether to propose to exclude any areas based on national security impacts.",Fall_2020
Regulatory,"NMFS published a final rule to list the Beringia Distinct Population Segment (DPS) of bearded seals as a threatened species under the Endangered Species Act (ESA) in December 2012, thereby triggering the requirement under section 4 of the ESA to designate critical habitat for the Beringia DPS to the maximum extent prudent and determinable. NMFS has already initiated rulemaking to establish critical habitat for Arctic ringed seals, which were also listed as threatened under the ESA in December 2012, and that action is proceeding separately. This rulemaking action proposes to designate critical habitat in areas occupied by bearded seals in U.S. waters over the continental shelf in the northern Bering, Chukchi, and Beaufort Seas. Impacts from the designation of critical habitat for Beringia DPS bearded seals would stem from the statutory requirement that Federal agencies consult with NMFS under section 7 of the ESA to ensure that any action they carry out, authorize, or fund is not likely to result in the destruction or adverse modification of bearded seal critical habitat. Federal agencies are already required to consult with NMFS under section 7 of the ESA to ensure that any action they authorize, fund, or carry out is not likely to jeopardize the continued existence of the Beringia DPS of bearded seals.",Fall_2020
Deregulatory,"The U.S. Fish and Wildlife Service (FWS) and National Marine Fisheries Service (NMFS) will propose to amend the regulations implementing section 7 of the Endangered Species Act of 1973, as amended. In 2019, the FWS and NMFS finalized revisions to 50 CFR part 402 (84 FR 44976). Among other things, 2019 final rule amended the 50 CFR part 402.16 in order to address issues arising under the Ninth Circuits decision in Cottonwood Environmental Law Center v. U.S. Forest Service, 789 F.3d 1075 (9th Cir. 2015), cert. denied, 137 S. Ct. 293 (2016). The final rule clarified that initiation of consultation shall not be required for land management plans prepared pursuant to 43 U.S.C. 1712 or 16 U.S.C. 1604, upon listing of a new species or designation of new critical habitat, in certain specific circumstances, provided that any authorized actions that may affect the newly listed species or designated critical habitat will be addressed through a separate action-specific consultation. Now, the FWS and NMFS will propose to create a similar exception for reinitiation on the basis of new information (see 50 CFR part 402.16(a) (2)). If finalized, the proposed amendment to 50 CFR part 402.16 would clarify that reinitiation of consultation is not required for certain land management plans based upon new information (see 402.16(a) (2)). This would decrease the number of reinitiated consultations, including the preparation of biological assessments and biological opinions.",Fall_2020
Deregulatory,"NMFS is proposing to revise its Antarctic Marine Living Resources Convention Act (AMLRCA) regulations at 50 CFR 300 Subpart G that implement the trade monitoring program for toothfish.  The United States is a member of the Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR) and has implemented, as part of its toothfish trade monitoring program, the CCAMLR catch documentation scheme (CDS) for toothfish that was initiated to inhibit trade of illegal catches. This action would remove a specific import prohibition on catches from certain areas of the Indian Ocean and make allowances for an online option for seafood importers to apply for preapproval certificates for imports of frozen toothfish. This action would also revise the process to obtain a preapproval certificate for imports of frozen toothfish. The regulations would be amended to reflect the availability of an online application, as an alternative to existing fillable electronic forms. This online application would decrease the processing time for preapproval certificates and serve to facilitate entry processing for importers.",Fall_2020
Deregulatory,"There are ongoing reintroduction efforts for Central Valley spring-run Chinook salmon in the upper Yuba River.  To facilitate reintroduction and address landowner and other stakeholder concerns in regards to Endangered Species Act (ESA) consultation needs, this rulemaking action would: (a) designate and authorize the release of a nonessential experimental population of Central Valley spring-run Chinook salmon under ESA section 10(j) in the upper Yuba River and its tributaries upstream of Englebright Dam, California; and (b) establish protective regulations under ESA section 4(d) for the nonessential experimental population in the designated area with broader exceptions to ESA take prohibitions for unintentional incidental take that results from an otherwise lawful activity. As a result, should any reintroduction occur, the standard ESA section 7(a)(2) consultation requirements would not apply to Federal agency actions affecting the nonessential experimental population. Additionally, unintentional incidental take from otherwise lawful activities (such as water management, forestry, power generation, etc.) would not be prohibited. This rulemaking action may lead to some minor beneficial impacts due to increased tourism and recreation in the upper Yuba River.",Fall_2020
