Agency,Stage_of_Rulemaking,Title,RIN,Link
USDA/RHS,Proposed Rule Stage,Single-Family Housing Guaranteed Rural Housing Programs - Single Close Combination Construction to Permanent Loan,0575-AD10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0575-AD10
USDA/RHS,Final Rule Stage,Truth in Lending - Real Estate Settlement Procedures,0575-AD11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0575-AD11
USDA/NRCS,Final Rule Stage,Conservation Program Recipient Reporting,0578-AA64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0578-AA64
USDA/APHIS,Prerule Stage,Animal Welfare; Procedures for Applying for Licenses and Renewals,0579-AE35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE35
USDA/APHIS,Proposed Rule Stage,Lacey Act Implementation Plan: De Minimis Exception and Composite Articles,0579-AD44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD44
USDA/APHIS,Proposed Rule Stage,"Importation of Fresh Citrus Fruit From Mexico, From the Municipalities of General Teran and Montemorelos, Nuevo Leon, Into the Continental United States",0579-AD93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD93
USDA/APHIS,Proposed Rule Stage,"Phytophthora Ramorum; Regulated Areas, Regulated Establishments, and Testing Protocols",0579-AE30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE30
USDA/APHIS,Proposed Rule Stage,Importation of Fresh Cape Gooseberry Fruit From Ecuador Into the Continental United States,0579-AE32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE32
USDA/APHIS,Proposed Rule Stage,Importation of Pummelo Fruit From Thailand,0579-AE33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE33
USDA/APHIS,Proposed Rule Stage,Privacy Act Regulations,0579-AE34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE34
USDA/APHIS,Final Rule Stage,National Environmental Policy Act Implementing Procedures,0579-AC60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AC60
USDA/APHIS,Final Rule Stage,Plant Pest Regulations; Update of General Provisions,0579-AC98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AC98
USDA/APHIS,Final Rule Stage,"Viruses, Serums, Toxins, and Analogous Products; Expiration Date Required for Serials and Subserials and Determination of Expiration Date of Product",0579-AD06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD06
USDA/APHIS,Final Rule Stage,"Bovine Spongiform Encephalopathy and Scrapie; Importation of Small Ruminants and Their Germplasm, Products, and Byproducts",0579-AD10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD10
USDA/APHIS,Final Rule Stage,Establishing a Performance Standard for Authorizing the Importation and Interstate Movement of Fruits and Vegetables,0579-AD71,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD71
USDA/APHIS,Final Rule Stage,Restructuring of Regulations on the Importation of Plants for Planting,0579-AD75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD75
USDA/APHIS,Final Rule Stage,Importation of Fresh Pomegranate Fruit From Turkey Into the Continental United States,0579-AD88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD88
USDA/APHIS,Final Rule Stage,Cold Treatment; Location of Facilities in the Southern and Western United States; Fumigation Treatment; Compliance Agreements; Cold Treatment Schedules,0579-AD90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD90
USDA/APHIS,Final Rule Stage,Importation of Fresh Citrus Fruit From the Republic of South Africa Into the Continental United States,0579-AD95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD95
USDA/APHIS,Final Rule Stage,Animal Welfare; Establishing De Minimis Exemptions From Licensing,0579-AD99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AD99
USDA/APHIS,Final Rule Stage,VSTA Records and Reports Specific to International Standards for Pharmacovigilance,0579-AE11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE11
USDA/APHIS,Final Rule Stage,Importation of Fresh Cherimoya Fruit From Chile Into the United States,0579-AE13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE13
USDA/APHIS,Final Rule Stage,Importation of Fresh Apple and Pear Fruit Into the Continental United States From Certain Countries in the European Union,0579-AE18,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE18
USDA/APHIS,Final Rule Stage,Importation of Lemons From Chile Into the Continental United States,0579-AE20,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE20
USDA/APHIS,Final Rule Stage,Importation of Fresh Raspberry Fruit From Morocco Into the Continental United States,0579-AE22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE22
USDA/APHIS,Final Rule Stage,Importation of Tree Tomatoes From Ecuador Into the Continental United States,0579-AE23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE23
USDA/APHIS,Final Rule Stage,Importation of Orchids in Growing Media From Taiwan,0579-AE28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE28
USDA/APHIS,Final Rule Stage,Importation of Campanula Spp. Plants for Planting in Approved Growing Media From Denmark to the United States,0579-AE31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0579-AE31
USDA/GIPSA,Proposed Rule Stage,Fees for Commodity Inspection Services (Excluding Rice) - 580 Program,0580-AB11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0580-AB11
USDA/GIPSA,Proposed Rule Stage,Fees for Rice Inspection Service and Revisions to Agricultural Marketing Act of 1946 (AMA) Regulations - 570 Program,0580-AB29,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0580-AB29
USDA/AMS,Proposed Rule Stage,National Bioengineered Food Disclosure Standard,0581-AD54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0581-AD54
USDA/AMS,Proposed Rule Stage,"NOP; National List Amendments, Proposed Rule",0581-AD60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0581-AD60
USDA/AMS,Proposed Rule Stage,NOP: Organic Livestock and Poultry Practices,0581-AD75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0581-AD75
USDA/AMS,Final Rule Stage,NOP; Organic Livestock and Poultry Practices,0581-AD44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0581-AD44
USDA/AMS,Final Rule Stage,"Growers' Trust Protection Eligibility and the Clarification of ""Written Notifications"" as Set Forth in Section 6(b) of the PACA",0581-AD50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0581-AD50
USDA/AMS,Final Rule Stage,"Organic Research, Promotion, and Information Order/Referendum Procedures",0581-AD55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0581-AD55
USDA/FSIS,Proposed Rule Stage,Egg Products Inspection Regulations,0583-AC58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AC58
USDA/FSIS,Proposed Rule Stage,Modernization of Swine Slaughter Inspection,0583-AD62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD62
USDA/FSIS,Proposed Rule Stage,Allowing Pet Food and Other Uninspected Articles to be Prepared in an Official Establishment Outside the Hours of Operation Under Inspection,0583-AD66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD66
USDA/FSIS,Proposed Rule Stage,Eliminating Unnecessary Requirements for Hog Carcass Cleaning,0583-AD68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD68
USDA/FSIS,Proposed Rule Stage,"Eliminating the Requirement That Livestock Carcasses be Marked ""U.S. Inspected and Passed"" at the time of Inspection When Carcasses are to be Further Processed Within the Same Establishment",0583-AD69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD69
USDA/FSIS,Final Rule Stage,Eligibility of Honduras to Export Poultry Products to the United States,0583-AD58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD58
USDA/FSIS,Final Rule Stage,"Elimination of Trichina Control Regulations and Consolidation of Thermally Processed, Commercially Sterile Regulations",0583-AD59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD59
USDA/FSIS,Final Rule Stage,Eligibility of the Republic of Poland to Export Poultry Products to the United States,0583-AD61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD61
USDA/FSIS,Final Rule Stage,Eligibility of the People's Republic of China (PRC) for the Importation Into the United States of Poultry Products From Birds Slaughtered in the PRC,0583-AD64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0583-AD64
USDA/FNS,Prerule Stage,Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults Without Dependents,0584-AE57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE57
USDA/FNS,Proposed Rule Stage,Reducing Verification Requirements on For-Profit Centers in the Child and Adult Care Food Program,0584-AE59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE59
USDA/FNS,Proposed Rule Stage,Hiring Flexibility Under Professional Standards,0584-AE60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE60
USDA/FNS,Proposed Rule Stage,Providing Regulatory Flexibility for Retailers in the Supplemental Nutrition Assistance Program (SNAP),0584-AE61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE61
USDA/FNS,Final Rule Stage,Simplified Cost Accounting and Other Actions to Reduce Paperwork in the Summer Food Service Program,0584-AD84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AD84
USDA/FNS,Final Rule Stage,"Processing of Donated Foods for Use in the NSLP and Other Food Assistance Programs: Implementation of the Agricultural Act of 2014, and Further Revisions and Clarifications in Processing Requirements",0584-AE38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE38
USDA/FNS,Final Rule Stage,"Child Nutrition Programs: Flexibilities for Milk, Whole Grains, and Sodium Requirements",0584-AE53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE53
USDA/FNS,Final Rule Stage,"SNAP: Certification, Eligibility, and Employment and Training Provisions of the Food, Energy and Conservation Act of 2008 -- Removal of Interim Provisions",0584-AE54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE54
USDA/FNS,Final Rule Stage,Food Distribution Program on Indian Reservations: Revision to Return of Administrative Funding Requirement.,0584-AE58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0584-AE58
USDA/FS,Proposed Rule Stage,National Environmental Policy Act Procedures,0596-AD31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0596-AD31
USDA/FS,Final Rule Stage,Administrative Issuances; Involving the Public in the Formulation of Forest Service Directives (Rule),0596-AC65,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0596-AC65
USDA/OPPM,Proposed Rule Stage,"Designation of Biobased Product Categories for Federal Procurement, Round 13",0599-AA26,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0599-AA26
DOC/ADMIN,Proposed Rule Stage,Disclosure of Government Information,0605-AA45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0605-AA45
DOC/ADMIN,Final Rule Stage,"Classification, De-Classification, and Public Availability of National Security Information",0605-AA41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0605-AA41
DOC/ADMIN,Final Rule Stage,"Public Information, Freedom of Information Act and Privacy Act Regulations",0605-AA46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0605-AA46
DOC/CENSUS,Proposed Rule Stage,Foreign Trade Regulations (FTR): Clarification on the Collection and Confidentiality of Kimberley Process Certificates,0607-AA54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0607-AA54
DOC/CENSUS,Proposed Rule Stage,Foreign Trade Regulations (FTR): Standard and Routed Export Transactions,0607-AA56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0607-AA56
DOC/EDA,Final Rule Stage,Revolving Loan Fund Program Changes and General Updates to PWEDA Regulations,0610-AA69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA69
DOC/EDA,Final Rule Stage,Elimination of Regulation Related to Economic Development Clearinghouse,0610-AA71,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA71
DOC/EDA,Final Rule Stage,Elimination of PWEDA Regulations Duplicative of Department of Commerce or Government-Wide Regulations,0610-AA72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA72
DOC/EDA,Final Rule Stage,"Elimination of Superfluous Administration, Operation and Maintenance Regulation",0610-AA73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA73
DOC/EDA,Final Rule Stage,Elimination of Superfluous Planning Grant Regulation,0610-AA74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA74
DOC/EDA,Final Rule Stage,Elimination of Regulation Requiring Signage,0610-AA75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA75
DOC/EDA,Final Rule Stage,Elimination of Superfluous Grantee Occupancy Regulation,0610-AA76,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0610-AA76
DOC/ITA,Proposed Rule Stage,Modification to Regulation Concerning the Filing of Importer Reimbursement Certifications,0625-AB06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB06
DOC/ITA,Proposed Rule Stage,Covered Merchandise Referrals From the Customs Service,0625-AB10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB10
DOC/ITA,Proposed Rule Stage,Modification of Regulations Regarding Provision of Cost of Production Information,0625-AB11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB11
DOC/ITA,Proposed Rule Stage,Corroboration of Secondary Information,0625-AB12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB12
DOC/ITA,Final Rule Stage,Procedures for Conducting Five-Year (Sunset) Reviews of Antidumping and Countervailing Duty Orders,0625-AA51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AA51
DOC/ITA,Final Rule Stage,Withdrawal of Regulation Governing Treatment of Tollers and Subcontractors in Antidumping Duty Determinations,0625-AA77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AA77
DOC/ITA,Final Rule Stage,Modification of Regulations Regarding Time Limits for Submission of Information Pertaining to Requests for Sampling in Antidumping Duty Administrative Reviews,0625-AA95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AA95
DOC/ITA,Final Rule Stage,Modification of Regulation Regarding Written Argument: Establishing Word Limits for Case and Rebuttal Briefs in Antidumping and Countervailing Duty Proceedings,0625-AB05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB05
DOC/ITA,Final Rule Stage,Modification of Regulations Regarding Basis for Normal Value,0625-AB08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB08
DOC/ITA,Final Rule Stage,Elimination of Regulation on Worsted Wool Fabric,0625-AB13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB13
DOC/ITA,Final Rule Stage,Elimination of Regulation on Determination of Bona Fide Motor-Vehicle Manufacturer,0625-AB14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0625-AB14
DOC/NOAA,Prerule Stage,Advance Notice of Proposed Rulemaking to Establish a Control Date for the American Lobster Fishery,0648-BF01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF01
DOC/NOAA,Proposed Rule Stage,Western and Central Pacific Fisheries for Highly Migratory Species; Restrictions on Fishing in Proximity to Data Buoys,0648-BA84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BA84
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Geophysical Surveys in the Gulf of Mexico,0648-BB38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BB38
DOC/NOAA,Proposed Rule Stage,International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; High Seas Transshipment Prohibitions,0648-BB64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BB64
DOC/NOAA,Proposed Rule Stage,Designate Critical Habitat for the Hawaiian Insular False Killer Whale Distinct Population Segment,0648-BC45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BC45
DOC/NOAA,Proposed Rule Stage,Billfish Conservation Act of 2012 Implementation,0648-BC86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BC86
DOC/NOAA,Proposed Rule Stage,Comprehensive Fishery Management Plan for Puerto Rico,0648-BD32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BD32
DOC/NOAA,Proposed Rule Stage,Comprehensive Fishery Management Plan for St. Croix,0648-BD33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BD33
DOC/NOAA,Proposed Rule Stage,Comprehensive Fishery Management Plan for St. Thomas/St. John,0648-BD34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BD34
DOC/NOAA,Proposed Rule Stage,International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; Treatment of U.S. Purse Seine Fishing With Respect to U.S. Territories,0648-BF41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF41
DOC/NOAA,Proposed Rule Stage,Jonah Crab Fishery; Interstate Fishery Management Plan for Jonah Crab,0648-BF43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF43
DOC/NOAA,Proposed Rule Stage,Approval of Selective Trawl Gear for Small-Mesh Fisheries Accountability Measure; Northeast Multispecies,0648-BF57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF57
DOC/NOAA,Proposed Rule Stage,Omnibus Essential Fish Habitat Amendment 2,0648-BF82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF82
DOC/NOAA,Proposed Rule Stage,Framework Adjustment 2 to the Tilefish Fishery Management Plan,0648-BF85,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF85
DOC/NOAA,Proposed Rule Stage,Amendment and Updates to the Pelagic Longline Take Reduction Plan,0648-BF90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF90
DOC/NOAA,Proposed Rule Stage,International Fisheries; South Pacific Tuna Fisheries; Implementation of Amendments to the South Pacific Tuna Treaty,0648-BG04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG04
DOC/NOAA,Proposed Rule Stage,"Illegal, Unregulated, and Unreported Fishing; Fisheries Enforcement; High Seas Driftnet Fishing Moratorium Protection Act",0648-BG11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG11
DOC/NOAA,Proposed Rule Stage,Endangered and Threatened Species; Designation of Critical Habitat for Threatened Caribbean and Indo-Pacific Reef-Building Corals,0648-BG26,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG26
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Pacific Islands Fisheries Science Center Fisheries Research,0648-BG31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG31
DOC/NOAA,Proposed Rule Stage,Vessel Monitoring Systems; Requirements for Enhanced Mobile Transceiver Unit and Mobile Communication Service Type Approval,0648-BG34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG34
DOC/NOAA,Proposed Rule Stage,Voting Criteria for a Referendum on a Gulf of Mexico Reef Fish Catch Share Program for For-Hire Vessels With Landings Histories,0648-BG36,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG36
DOC/NOAA,Proposed Rule Stage,Fisheries off West Coast States; Pacific Coast Groundfish Fishery; Authorization of an Oregon Recreational Fishery for Midwater Groundfish Species,0648-BG40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG40
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to the NMFS Southeast Fisheries Science Center's Fisheries Research,0648-BG44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG44
DOC/NOAA,Proposed Rule Stage,Commerce Trusted Trader Program,0648-BG51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG51
DOC/NOAA,Proposed Rule Stage,Marine Mammal Non-Lethal Deterrents,0648-BG55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG55
DOC/NOAA,Proposed Rule Stage,Regulatory Amendment to Authorize a Recreational Quota Entity,0648-BG57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG57
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Fisheries Research,0648-BG64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG64
DOC/NOAA,Proposed Rule Stage,"International Fisheries; Fishing Limits in Purse Seine Fisheries for 2017, Transshipment Prohibition, and Requirements to Safeguard Fishery Observers",0648-BG66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG66
DOC/NOAA,Proposed Rule Stage,Marine Mammal Protection Act List of Fisheries for 2018,0648-BG72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG72
DOC/NOAA,Proposed Rule Stage,"Amendment to the Coastal Pelagic Species Fishery Management Plan; Small-scale Targeted Fishing Exception From Directed Fishing Closures off the Coasts of Washington, Oregon, and California",0648-BG74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG74
DOC/NOAA,Proposed Rule Stage,Rule to Implement the For-Hire Reporting Amendments,0648-BG75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG75
DOC/NOAA,Proposed Rule Stage,Amendment 41 to the Fishery Management Plan for the Snapper-Grouper Fishery of the South Atlantic Region,0648-BG77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG77
DOC/NOAA,Proposed Rule Stage,Harvesting Rights Lending Program,0648-BG80,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG80
DOC/NOAA,Proposed Rule Stage,Implementation of a Federal Limited Entry Permit for the California/Oregon Large-Mesh Drift Gillnet Fishery,0648-BG81,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG81
DOC/NOAA,Proposed Rule Stage,"Amendment 17B to the Fishery Management Plan for the Shrimp Fishery of the Gulf of Mexico, U.S. Waters",0648-BG82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG82
